TEAM,ADJOE_2025,ADJDE_2025,BARTHAG_2025,EFG_O_2025,EFG_D_2025,TOR_2025,TORD_2025,ORB_2025,DRB_2025,FTR_2025,FTRD_2025,2P_O_2025,2P_D_2025,3P_O_2025,3P_D_2025,SEED_2025
Abilene Christian,98.205,101.12,0.417,46.7,51.4,20.7,24.0,30.0,31.5,37.2,51.3,47.8,52.6,28.9,32.6,
Air Force,98.604,109.534,0.23,50.1,54.6,20.8,15.7,22.7,29.0,35.4,35.4,50.5,54.8,33.1,36.3,
Akron,113.962,106.808,0.678,55.4,49.5,16.6,17.2,33.3,29.0,26.8,33.7,55.8,50.6,36.6,31.9,13.0
Alabama,127.731,96.424,0.962,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35.0,30.8,2.0
Alabama A&M,92.849,114.946,0.079,45.1,54.3,21.9,21.0,33.9,34.6,38.6,46.7,44.3,51.8,30.8,39.0,
Alabama St.,100.566,109.737,0.268,47.1,50.6,13.1,18.7,28.3,30.7,29.1,38.5,45.6,50.5,32.8,33.8,16.0
Albany,103.122,112.596,0.267,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,
Alcorn St.,97.36,111.049,0.181,46.1,53.0,19.6,18.3,33.6,32.5,30.4,31.5,45.4,54.6,31.8,34.1,
American,101.316,107.444,0.337,51.8,52.1,16.8,17.6,23.8,27.4,29.5,34.1,51.1,53.1,35.1,33.6,1.0
Appalachian St.,100.744,100.915,0.495,49.6,46.1,16.9,14.8,27.6,29.6,35.1,22.2,48.7,47.0,34.0,29.8,
Arizona,123.963,96.593,0.946,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,4.0
Arizona St.,113.279,100.985,0.789,51.4,50.5,17.5,16.0,25.2,30.4,35.9,31.2,49.8,51.4,35.8,32.9,
Arkansas,111.999,95.549,0.861,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,14.0
Arkansas Pine Bluff,95.097,121.803,0.055,50.3,56.3,20.4,16.8,26.3,34.6,32.8,40.5,52.6,58.5,31.0,35.7,
Arkansas St.,110.869,102.502,0.711,49.8,46.0,14.8,17.1,33.7,30.3,33.6,37.5,50.9,46.4,32.3,30.1,
Army,100.25,113.507,0.193,49.7,53.7,14.7,16.0,25.8,29.3,25.8,27.1,52.1,55.2,30.8,34.5,
Auburn,129.177,93.747,0.976,55.7,46.0,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,1.0
Austin Peay,102.17,112.274,0.253,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36.0,47.1,52.0,34.0,37.9,
Ball St.,103.602,112.373,0.282,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51.0,54.5,34.6,31.5,
Baylor,120.589,99.441,0.902,51.5,51.2,16.1,18.8,35.6,31.2,31.0,33.5,51.2,49.8,34.7,35.4,9.0
Bellarmine,103.621,120.59,0.149,53.7,58.1,17.4,15.4,20.2,30.0,26.5,34.9,53.9,57.8,35.6,39.0,
Belmont,111.959,108.566,0.588,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27.0,52.9,54.6,38.1,35.1,
Bethune Cookman,97.435,108.631,0.223,48.2,48.8,19.5,16.7,28.8,30.0,35.9,32.4,48.4,49.8,31.9,31.3,
Binghamton,98.851,112.165,0.19,51.6,49.7,19.6,12.8,26.9,26.9,33.7,31.9,50.6,51.1,35.4,31.8,
